Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-14 00:00:00-04:00,81.26180756251685,82.83745337521212,80.94987645827959,81.83767700195312,5004184,0.0,0.0
2023-09-15 00:00:00-04:00,81.4937515401225,81.90965968329945,80.50197395170233,80.82990264892578,7178631,0.0,0.0
2023-09-18 00:00:00-04:00,80.82989376728213,81.50174137957615,80.0700594205321,80.81389617919922,5141006,0.0,0.0
2023-09-19 00:00:00-04:00,80.78990868867838,80.98186517046022,79.87811175112934,80.16605377197266,3192483,0.0,0.0
2023-09-20 00:00:00-04:00,80.02208452491044,80.70193102104972,79.16627183478477,79.17427062988281,2936300,0.0,0.0
2023-09-21 00:00:00-04:00,78.82234691234319,79.35822965277103,77.90255122875459,77.97453308105469,4252856,0.0,0.0
2023-09-22 00:00:00-04:00,78.05452857059532,78.22248867492026,77.26270622424794,77.6146240234375,4172724,0.0,0.0
2023-09-25 00:00:00-04:00,77.2387086920999,77.50264703757483,74.99120781438978,75.81502532958984,5315263,0.0,0.0
2023-09-26 00:00:00-04:00,75.47110133865561,76.07096714628683,74.87923432564642,75.0871810913086,4159927,0.0,0.0
2023-09-27 00:00:00-04:00,75.28714197007456,75.47909845896538,74.45533295093794,74.75126647949219,3669089,0.0,0.0
2023-09-28 00:00:00-04:00,74.42333324194334,75.05519423669776,73.9114468699888,74.59129333496094,4883866,0.0,0.0
2023-09-29 00:00:00-04:00,75.18316661504406,75.45510373764012,74.66328145554405,74.87923431396484,3640744,0.0,0.0
2023-10-02 00:00:00-04:00,74.10340463490842,74.24737564440416,71.43200419881619,72.15984344482422,9823466,0.0,0.0
2023-10-03 00:00:00-04:00,71.78392355217375,71.93588604624681,70.51220284728375,71.0160903930664,6428620,0.0,0.0
2023-10-04 00:00:00-04:00,70.86413163619537,71.07208570086122,69.83236010752016,70.40023803710938,7799475,0.0,0.0
2023-10-05 00:00:00-04:00,70.38424033817894,70.57619681323764,69.2244953950148,70.2482681274414,5812799,0.0,0.0
2023-10-06 00:00:00-04:00,69.90434152262759,71.35202117155119,69.04853618354186,70.70416259765625,5331888,0.0,0.0
2023-10-09 00:00:00-04:00,70.44022134651755,71.2480411826204,70.34424311342462,71.22404479980469,2822082,0.0,0.0
2023-10-10 00:00:00-04:00,71.98387901336119,72.7757012592143,71.35201805626166,72.49575805664062,4435844,0.0,0.0
2023-10-11 00:00:00-04:00,72.62373557324098,72.76770657979635,71.78392781254067,72.29580688476562,2536955,0.0,0.0
2023-10-12 00:00:00-04:00,72.40778074387885,72.40778074387885,70.75215435344182,71.2000503540039,2796128,0.0,0.0
2023-10-13 00:00:00-04:00,71.34402398079854,71.8639091508885,70.59219565649182,70.92811584472656,2809284,0.0,0.0
2023-10-16 00:00:00-04:00,71.12007152434106,72.09585149529079,70.82413801517859,71.9358901977539,3186862,0.0,0.0
2023-10-17 00:00:00-04:00,71.32002892775017,72.81569410766927,71.24804707152342,72.42378234863281,2535759,0.0,0.0
2023-10-18 00:00:00-04:00,71.75993050366942,71.82391356233042,70.48821703786153,70.70416259765625,3214130,0.0,0.0
2023-10-19 00:00:00-04:00,70.3842360762922,71.03208731584424,69.60040533606613,69.63240051269531,3667295,0.0,0.0
2023-10-20 00:00:00-04:00,69.35246834932582,69.84035832836558,69.09652881700849,69.22449493408203,3056258,0.0,0.0
2023-10-23 00:00:00-04:00,68.78459816500796,69.44844703292154,68.2647130042707,68.46466827392578,4158014,0.0,0.0
2023-10-24 00:00:00-04:00,72.07186570689328,72.6477351621783,70.72016421799772,72.07986450195312,7675928,0.0,0.0
2023-10-25 00:00:00-04:00,71.50397843432475,72.31179824477667,70.94410664208884,71.49598693847656,4618593,0.0,0.0
2023-10-26 00:00:00-04:00,71.79192196065824,72.4237829768253,70.62418546835312,70.90412139892578,4623975,0.0,0.0
2023-10-27 00:00:00-04:00,71.2800403427695,71.37601858122558,69.56042354710839,70.00032806396484,3962109,0.0,0.0
