,Date,Open,Hign,Low,Close,Volume
0,2023-09-17,0.4997,0.5004,0.4894,0.4925,142846615.0
1,2023-09-18,0.4925,0.5077,0.4864,0.503,298374742.0
2,2023-09-19,0.503,0.5166,0.5005,0.514,295258283.0
3,2023-09-20,0.5139,0.5254,0.5065,0.5212,288497937.0
4,2023-09-21,0.5213,0.5214,0.5001,0.5071,277323578.0
5,2023-09-22,0.5072,0.517,0.5036,0.5122,233893377.0
6,2023-09-23,0.5122,0.5138,0.5055,0.5076,101716334.0
7,2023-09-24,0.5076,0.5118,0.4984,0.5021,112889323.0
8,2023-09-25,0.502,0.5072,0.4912,0.5056,303674393.0
9,2023-09-26,0.5056,0.5075,0.496,0.5019,271054261.0
10,2023-09-27,0.5019,0.5071,0.4968,0.4993,237514582.0
11,2023-09-28,0.4993,0.5102,0.4952,0.5098,247906960.0
12,2023-09-29,0.5097,0.5494,0.5061,0.5215,604996777.0
13,2023-09-30,0.5215,0.5218,0.5134,0.5149,144866051.0
14,2023-10-01,0.5148,0.526,0.5137,0.5241,167673504.0
15,2023-10-02,0.524,0.5266,0.5075,0.5123,319018957.0
16,2023-10-03,0.5122,0.5479,0.5055,0.539,398167814.0
17,2023-10-04,0.5391,0.5426,0.5194,0.5326,422012491.0
18,2023-10-05,0.5326,0.5326,0.5155,0.5227,234313709.0
19,2023-10-06,0.5227,0.5298,0.5169,0.5255,219784262.0
20,2023-10-07,0.5255,0.5258,0.5197,0.5216,63137112.0
21,2023-10-08,0.5216,0.5234,0.5153,0.5174,82864720.0
22,2023-10-09,0.5174,0.5201,0.4875,0.5027,322604658.0
23,2023-10-10,0.5027,0.5027,0.4917,0.4965,228001743.0
24,2023-10-11,0.4964,0.4977,0.4788,0.4888,241504648.0
25,2023-10-12,0.4889,0.4889,0.4729,0.483,259545095.0
26,2023-10-13,0.4831,0.4907,0.4786,0.4851,257150898.0
27,2023-10-14,0.4852,0.4883,0.4835,0.4865,93826664.0
28,2023-10-15,0.4866,0.4902,0.485,0.4874,101648635.0
29,2023-10-16,0.4874,0.5109,0.485,0.4978,405705160.0
30,2023-10-17,0.4977,0.498,0.4845,0.4912,268586946.0
31,2023-10-18,0.4911,0.4924,0.4855,0.4878,202731261.0
32,2023-10-19,0.4878,0.5245,0.4769,0.5197,445455672.0
33,2023-10-20,0.5197,0.5309,0.5084,0.5149,412008957.0
34,2023-10-21,0.515,0.5325,0.5109,0.5208,179110644.0
35,2023-10-22,0.5208,0.5242,0.5118,0.5226,165306102.0
36,2023-10-23,0.5226,0.5536,0.5199,0.5475,522483834.0
37,2023-10-24,0.5475,0.5866,0.5346,0.5588,798801237.0
38,2023-10-25,0.5587,0.5639,0.5404,0.5552,369106629.0
39,2023-10-26,0.5552,0.5695,0.5426,0.5533,397423009.0
40,2023-10-27,0.5534,0.5588,0.5325,0.543,312543838.0
41,2023-10-28,0.543,0.5506,0.5405,0.5446,110912293.0
42,2023-10-29,0.5446,0.5614,0.5405,0.5561,160069611.0
43,2023-10-30,0.556,0.5843,0.5494,0.578,436757242.0
44,2023-10-31,0.578,0.6213,0.5627,0.5996,621793128.0
45,2023-11-01,0.5995,0.6164,0.5802,0.6085,468312081.0
46,2023-11-02,0.6084,0.6262,0.5865,0.6054,438254076.0
